iter,alpha_M1f,beta_M1f,LL_M1f,LL_M3_sim,LR_sim,best_init_idx,n_total_sim,ll_init_0,ll_init_1,ll_init_2,ll_init_3,ll_init_4,ll_init_anchor
170,9.997126668e-05,0.01077010928,-725817.683594,-725817.683832,0.000475,0,122341,-725817.683594,-725818.319235,-725818.975370,-725818.098438,-725819.111682,-725817.683832
171,0.0001067114321,0.01715626578,-725810.180514,-725810.239279,0.117529,0,122393,-725810.180514,-725811.106676,-725811.489132,-725811.026421,-725811.574069,-725810.239279
172,0.0001001489313,0.01035377857,-727789.660771,-727789.679765,0.037987,0,122746,-727789.660771,-727791.578386,-727792.368580,-727791.306652,-727792.542333,-727789.679765
173,0.0001006173685,0.01076706648,-729933.747911,-729933.786571,0.077319,0,123150,-729933.747911,-729934.455487,-729934.929634,-729934.319574,-729935.034808,-729933.786571
174,9.996427876e-05,0.01081343172,-728650.834427,-728650.835345,0.001836,0,122874,-728650.834427,-728651.678841,-728652.235943,-728651.519242,-728652.356151,-728650.835345
175,0.0001007332594,0.01077052715,-726249.089514,-726249.134823,0.090619,0,122397,-726249.089514,-726250.207603,-726250.702399,-726250.070195,-726250.820798,-726249.134823
176,0,0.01,-727392.043133,-727392.043133,0.000000,-1,122665,-727392.072154,-727392.868486,-727393.392976,-727392.734439,-727393.496527,-727392.043133
177,0.0001004179705,0.01081162645,-729269.967827,-729269.995564,0.055474,0,122973,-729269.967827,-729271.525290,-729272.031842,-729271.416946,-729272.147462,-729269.995564
178,0,0.01,-727836.209484,-727836.209484,-0.000000,-1,122735,-727836.239657,-727838.428922,-727839.178325,-727838.238456,-727839.344449,-727836.209484
179,0,0.01,-729131.032276,-729131.032276,0.000000,-1,122946,-729131.117131,-729132.265946,-729132.856244,-729132.115091,-729133.003956,-729131.032276
180,0.004203930738,0.06595486031,-727559.355309,-727562.029816,5.349014,3,122680,-727560.066321,-727559.508526,-727559.944372,-727559.355309,-727560.020296,-727562.029816
181,0.0001000443523,0.01037143045,-727179.916535,-727179.924145,0.015220,0,122571,-727179.916535,-727180.917788,-727181.625808,-727180.673148,-727181.763094,-727179.924145
182,0.003297518143,0.08309850459,-728078.460902,-728080.533865,4.145927,3,122775,-728079.131510,-728078.634960,-728079.236318,-728078.460902,-728079.352176,-728080.533865
183,0,0.01,-728557.123439,-728557.123439,-0.000000,-1,122866,-728557.179881,-728559.554011,-728560.464581,-728559.331391,-728560.674280,-728557.123439
184,0.0001029465055,0.01493269869,-725608.144579,-725608.181892,0.074626,0,122317,-725608.144579,-725609.252980,-725609.703450,-725609.154351,-725609.815602,-725608.181892
185,0.0001002553861,0.01078563389,-729948.838798,-729948.856127,0.034659,0,123062,-729948.838798,-729949.836825,-729950.432438,-729949.660960,-729950.569579,-729948.856127
186,0.0001197405097,0.02566107159,-728426.132411,-728426.222616,0.180411,0,122863,-728426.132411,-728426.599832,-728426.933652,-728426.527218,-728427.010942,-728426.222616
187,0.0001010979326,0.01076513558,-729823.425670,-729823.492947,0.134554,0,123077,-729823.425670,-729824.501686,-729825.029286,-729824.338678,-729825.149760,-729823.492947
188,0,0.01,-728804.689051,-728804.689051,-0.000000,-1,122899,-728804.743517,-728806.495708,-728807.303048,-728806.267358,-728807.482762,-728804.689051
189,0.0001187224862,0.02372125499,-729673.090725,-729673.181006,0.180563,0,123106,-729673.090725,-729673.513643,-729673.872634,-729673.430918,-729673.958474,-729673.181006
190,0.0001002217515,0.01036718664,-729836.241345,-729836.269853,0.057017,0,123172,-729836.241345,-729837.981395,-729838.570621,-729837.784454,-729838.701967,-729836.269853
191,0.0001000468696,0.01037610838,-725356.435159,-725356.442799,0.015281,0,122243,-725356.435159,-725358.405376,-725359.100023,-725358.209075,-725359.239987,-725356.442799
192,0,0.01,-727985.154421,-727985.154421,-0.000000,-1,122747,-727985.197567,-727985.628566,-727986.357851,-727985.388273,-727986.506300,-727985.154421
193,0.0001002651171,0.01037284867,-727854.955963,-727854.989501,0.067075,0,122770,-727854.955963,-727856.927517,-727857.542816,-727856.736462,-727857.687318,-727854.989501
194,0,0.01,-726321.266441,-726321.266442,0.000000,-1,122419,-726321.297387,-726323.057542,-726323.686330,-726322.905777,-726323.838721,-726321.266441
195,0.0002870515808,0.1085194964,-726300.680450,-726301.001581,0.642263,0,122358,-726300.680450,-726300.811549,-726301.192928,-726300.720001,-726301.284241,-726301.001581
196,0,0.01,-728534.247757,-728534.247757,0.000000,-1,122853,-728534.271498,-728536.320332,-728537.224070,-728536.014409,-728537.404759,-728534.247757
197,0.0001000750396,0.01036090859,-727709.853085,-727709.863410,0.020650,0,122662,-727709.853085,-727712.370944,-727713.150645,-727712.160906,-727713.316461,-727709.863410
198,0,0.01,-726679.003346,-726679.003346,0.000000,-1,122517,-726679.027959,-726681.115839,-726681.986937,-726680.796372,-726682.188824,-726679.003346
199,0,0.01,-726820.940112,-726820.940112,-0.000000,-1,122563,-726820.941272,-726822.525752,-726823.045481,-726822.417838,-726823.167660,-726820.940112
200,0,0.01,-727806.475339,-727806.475339,-0.000000,-1,122693,-727806.539817,-727808.768474,-727809.736578,-727808.452663,-727809.968950,-727806.475339
201,0.003316075023,0.07621275637,-728164.858588,-728166.521014,3.324852,3,122795,-728165.197939,-728165.062426,-728165.644208,-728164.858588,-728165.748118,-728166.521014
202,0.0001000789554,0.01034988088,-728815.365687,-728815.376344,0.021315,0,122894,-728815.365687,-728817.573568,-728818.335246,-728817.330958,-728818.496062,-728815.376344
203,0,0.01,-728100.722204,-728100.722204,0.000000,-1,122813,-728100.804256,-728102.518749,-728103.190269,-728102.371241,-728103.355424,-728100.722204
204,0.0001008829548,0.0107860443,-729135.309506,-729135.364621,0.110228,0,123011,-729135.309506,-729136.036190,-729136.469921,-729135.924751,-729136.566969,-729135.364621
205,0,0.01,-727468.177374,-727468.177374,-0.000000,-1,122608,-727468.193944,-727470.631889,-727471.510487,-727470.369971,-727471.698077,-727468.177374
206,0,0.01,-727741.968065,-727741.968065,0.000000,-1,122670,-727742.012368,-727744.032534,-727745.022485,-727743.705044,-727745.226427,-727741.968065
207,0,0.01,-724776.788010,-724776.788010,-0.000000,-1,122080,-724776.859109,-724778.634908,-724779.446280,-724778.416223,-724779.634155,-724776.788010
208,0.0001000930239,0.01037294811,-730128.040364,-730128.053504,0.026280,0,123173,-730128.040364,-730130.321349,-730130.996361,-730130.170400,-730131.154808,-730128.053504
209,0.002999622053,0.0784552451,-729354.161834,-729355.662405,3.001141,3,123054,-729354.380217,-729354.345044,-729354.921598,-729354.161834,-729355.028506,-729355.662405
210,0,0.01,-726118.931821,-726118.931821,-0.000000,-1,122335,-726118.964504,-726119.791213,-726120.883138,-726119.289827,-726121.082253,-726118.931821
211,0.0001000417882,0.01037247643,-727427.542432,-727427.549680,0.014498,0,122675,-727427.542432,-727429.382037,-727430.091725,-727429.151042,-727430.268766,-727427.549680
212,0.0001007113799,0.01077171571,-726876.980929,-726877.025244,0.088630,0,122504,-726876.980929,-726877.226901,-726877.732478,-726877.067840,-726877.836676,-726877.025244
213,0,0.01,-729441.351571,-729441.351571,0.000000,-1,123121,-729441.353769,-729442.380154,-729443.108344,-729442.111983,-729443.252907,-729441.351571
214,0,0.01,-726041.823853,-726041.823853,0.000000,-1,122352,-726041.846857,-726043.865010,-726044.575211,-726043.667053,-726044.724457,-726041.823853
215,0.0003624875833,0.1096903673,-726697.805442,-726698.299653,0.988423,0,122533,-726697.805442,-726697.970078,-726698.240993,-726697.909276,-726698.305939,-726698.299653
216,0,0.01,-729379.173280,-729379.173280,-0.000000,-1,123066,-729379.232723,-729381.464337,-729382.436666,-729381.180822,-729382.661306,-729379.173280
217,0,0.01,-727532.688772,-727532.688772,-0.000000,-1,122649,-727532.700882,-727535.055758,-727535.942865,-727534.768929,-727536.126908,-727532.688772
218,0.0001000079088,0.01077595662,-724973.266197,-724973.268791,0.005189,0,122086,-724973.266197,-724974.557742,-724975.198569,-724974.370060,-724975.341954,-724973.268791
219,0,0.01,-729130.644471,-729130.644471,0.000000,-1,122973,-729130.661310,-729132.720848,-729133.482013,-729132.472234,-729133.661547,-729130.644471
220,0.0001158633105,0.02961179778,-727642.898760,-727642.973759,0.149998,0,122746,-727642.898760,-727643.433413,-727643.787834,-727643.354782,-727643.869757,-727642.973759
221,0,0.01,-727509.228173,-727509.228173,-0.000000,-1,122675,-727509.253874,-727511.151785,-727511.822582,-727510.981949,-727511.962500,-727509.228173
222,0.0001007563976,0.01078536836,-728863.199242,-728863.246586,0.094688,0,122954,-728863.199242,-728864.348958,-728864.814386,-728864.221909,-728864.920673,-728863.246586
223,0.0001009776131,0.01077037204,-725944.079620,-725944.139476,0.119712,0,122314,-725944.079620,-725944.709115,-725945.164838,-725944.562189,-725945.268584,-725944.139476
224,0,0.01,-729195.535576,-729195.535576,0.000000,-1,122988,-729195.559598,-729197.371153,-729198.220375,-729197.102478,-729198.412110,-729195.535576
225,0,0.01,-729385.823466,-729385.823466,-0.000000,-1,123061,-729385.912943,-729387.526112,-729388.262301,-729387.336185,-729388.424219,-729385.823466
226,0.0002502598174,0.1087863444,-727310.431910,-727310.679345,0.494871,0,122600,-727310.431910,-727310.955371,-727311.402549,-727310.835453,-727311.500878,-727310.679345
227,9.998220954e-05,0.01079799083,-729080.715217,-729080.717212,0.003990,0,122995,-729080.715217,-729081.137554,-729081.734639,-729080.942015,-729081.850317,-729080.717212
228,0.0001069551156,0.02456420316,-726652.379654,-726652.427633,0.095958,0,122525,-726652.379654,-726653.217067,-726653.626551,-726653.134709,-726653.707197,-726652.427632
229,0,0.01,-729151.165633,-729151.165633,-0.000000,-1,122972,-729151.201422,-729153.424013,-729154.255842,-729153.194915,-729154.451516,-729151.165633
230,0.0001004726982,0.01079114301,-726426.727624,-726426.758082,0.060915,0,122422,-726426.727624,-726427.578629,-726428.059623,-726427.454288,-726428.164132,-726426.758082
231,0.0001000353872,0.0107675559,-725182.208420,-725182.212653,0.008467,0,122202,-725182.208420,-725183.011625,-725183.578749,-725182.834882,-725183.694683,-725182.212654
232,0.0001004630634,0.01079626773,-727825.907467,-727825.937696,0.060458,0,122734,-727825.907467,-727826.935659,-727827.411818,-727826.822575,-727827.517819,-727825.937696
233,0,0.01,-727259.277733,-727259.277733,-0.000000,-1,122548,-727259.322070,-727261.235900,-727262.014407,-727261.021909,-727262.191212,-727259.277733
234,0.0001001833659,0.01036145492,-728408.022811,-728408.046213,0.046805,0,122846,-728408.022811,-728409.873825,-728410.551883,-728409.670481,-728410.694422,-728408.046213
235,0,0.01,-729692.601920,-729692.601920,-0.000000,-1,123063,-729692.629022,-729693.944164,-729694.529391,-729693.782290,-729694.649823,-729692.601920
236,0,0.01,-726776.758695,-726776.758696,0.000000,-1,122526,-726776.799495,-726778.258521,-726778.886059,-726778.090429,-726779.046190,-726776.758695
237,0,0.01,-725348.481485,-725348.481485,-0.000000,-1,122224,-725348.487837,-725349.692334,-725350.300640,-725349.527183,-725350.440624,-725348.481485
238,0,0.01,-728843.190360,-728843.190360,0.000000,-1,122928,-728843.250142,-728845.554851,-728846.516112,-728845.238054,-728846.751859,-728843.190360
239,0.0001003153965,0.0103420747,-728101.581255,-728101.619531,0.076551,0,122754,-728101.581255,-728104.032434,-728104.784111,-728103.766375,-728104.961190,-728101.619531
240,0,0.01,-726606.062791,-726606.062791,0.000000,-1,122519,-726606.092073,-726608.482987,-726609.262233,-726608.307675,-726609.446941,-726606.062791
241,0,0.01,-729047.626821,-729047.626821,-0.000000,-1,122989,-729047.663716,-729050.143188,-729051.051193,-729049.877865,-729051.232078,-729047.626821
242,0.0001025876903,0.0128107021,-730375.229329,-730375.278272,0.097885,0,123249,-730375.229329,-730376.203914,-730376.628963,-730376.103612,-730376.721247,-730375.278272
243,0.003528241185,0.0583322544,-729866.477226,-729867.172007,1.389563,3,123152,-729866.701644,-729866.584886,-729866.983727,-729866.477226,-729867.082669,-729867.172007
244,0,0.01,-725707.048226,-725707.048226,0.000000,-1,122231,-725707.075841,-725708.691928,-725709.427409,-725708.493101,-725709.582426,-725707.048226
245,9.966819629e-05,0.01372245972,-729984.019057,-729984.021277,0.004439,0,123161,-729984.019057,-729985.619849,-729986.126543,-729985.514320,-729986.247826,-729984.021277
246,0.003536652362,0.07308080958,-729175.032138,-729176.907784,3.751291,3,122991,-729175.866230,-729175.125668,-729175.494386,-729175.032138,-729175.566481,-729176.907784
247,0.0001011243572,0.01073829268,-729201.091365,-729201.159327,0.135924,0,122988,-729201.091365,-729202.662091,-729203.176344,-729202.497876,-729203.297502,-729201.159327
248,0,0.01,-727321.066164,-727321.066164,-0.000000,-1,122632,-727321.106017,-727322.242852,-727322.832012,-727322.076245,-727322.978332,-727321.066164
249,0.0001000935761,0.01035647704,-727483.031436,-727483.044213,0.025553,0,122708,-727483.031436,-727485.179205,-727485.933386,-727484.916199,-727486.104522,-727483.044213
250,0,0.01,-727745.088458,-727745.088458,0.000000,-1,122755,-727745.119909,-727746.953198,-727747.757074,-727746.687654,-727747.938366,-727745.088458
251,0.000251272242,0.1033283628,-727193.837511,-727194.077296,0.479570,0,122597,-727193.837511,-727194.208494,-727194.597019,-727194.122117,-727194.684122,-727194.077296
252,0.00289001936,0.07647385433,-726675.038544,-726675.791689,1.506291,3,122562,-726675.761366,-726675.303425,-726675.992509,-726675.038544,-726676.112438,-726675.791689
253,0.0007313566768,0.2383493987,-727989.942806,-727992.352294,4.818976,0,122771,-727989.942806,-727990.613255,-727991.193817,-727990.387739,-727991.300523,-727992.352294
254,0.0001001876292,0.01078469323,-725730.185611,-725730.199086,0.026951,0,122294,-725730.185611,-725731.511779,-725732.075817,-725731.359299,-725732.203125,-725730.199086
255,0.0001000331388,0.01037953698,-725953.433311,-725953.439669,0.012717,0,122377,-725953.433311,-725955.294998,-725955.979305,-725955.089711,-725956.151884,-725953.439669
256,0.0001003931204,0.01076780609,-728773.324657,-728773.349523,0.049732,0,122857,-728773.324657,-728774.986377,-728775.591022,-728774.819926,-728775.736647,-728773.349523
257,0,0.01,-728975.628481,-728975.628481,-0.000000,-1,122958,-728975.655883,-728977.682107,-728978.468712,-728977.442924,-728978.654721,-728975.628481
258,0,0.01,-728862.966094,-728862.966094,-0.000000,-1,122908,-728862.978521,-728865.048703,-728865.851106,-728864.818627,-728866.025105,-728862.966094
259,9.999872661e-05,0.01246547726,-729989.651839,-729989.656664,0.009650,0,123175,-729989.651839,-729990.660110,-729991.187981,-729990.524673,-729991.318351,-729989.656664
260,0.0001004192888,0.01079112211,-728863.656091,-728863.683520,0.054858,0,122915,-728863.656091,-728864.341211,-728864.874937,-728864.179265,-728864.990825,-728863.683520
261,0,0.01,-726086.194701,-726086.194701,-0.000000,-1,122366,-726086.233804,-726088.534328,-726089.347236,-726088.314912,-726089.530465,-726086.194701
262,0.0001001018767,0.01079461947,-729650.432106,-729650.441012,0.017812,0,123084,-729650.432106,-729651.678034,-729652.172859,-729651.557693,-729652.290381,-729650.441012
263,0,0.01,-728207.252427,-728207.252427,0.000000,-1,122813,-728207.287466,-728208.673559,-728209.530909,-728208.356224,-728209.722444,-728207.252427
264,0,0.01,-725840.585769,-725840.585769,-0.000000,-1,122332,-725840.620955,-725841.333747,-725842.105668,-725841.067622,-725842.270657,-725840.585769
265,0,0.01,-728269.018832,-728269.018832,0.000000,-1,122808,-728269.059428,-728270.927004,-728271.583344,-728270.765099,-728271.747393,-728269.018832
266,0,0.01,-726216.453704,-726216.453704,-0.000000,-1,122380,-726216.488276,-726218.068899,-726218.720141,-726217.884787,-726218.862684,-726216.453704
267,0.0001033398161,0.01702577554,-727239.720135,-727239.754807,0.069344,0,122644,-727239.720135,-727240.445661,-727240.906194,-727240.325688,-727241.019878,-727239.754807
268,0.0001011932556,0.01074939308,-728625.964698,-728626.036942,0.144488,0,122838,-728625.964698,-728627.327476,-728627.783840,-728627.203063,-728627.892493,-728626.036942
269,0.003814003212,0.05835945706,-726764.541394,-726766.137215,3.191641,3,122527,-726764.699330,-726764.631207,-726764.941834,-726764.541394,-726765.007992,-726766.137215
270,0.0001001915637,0.01080072033,-729174.547717,-729174.561821,0.028208,0,122979,-729174.547717,-729175.274504,-729175.958143,-729175.038384,-729176.094077,-729174.561821
271,0.0001001335042,0.01037576458,-726959.155386,-726959.173506,0.036240,0,122607,-726959.155386,-726961.195578,-726961.809813,-726961.031067,-726961.937417,-726959.173506
272,0,0.01,-728604.037034,-728604.037034,-0.000000,-1,122877,-728604.053465,-728605.947975,-728606.602106,-728605.780537,-728606.763965,-728604.037034
273,0,0.01,-727621.625555,-727621.625555,-0.000000,-1,122651,-727621.630902,-727622.861663,-727623.431016,-727622.687189,-727623.562924,-727621.625555
274,0.0001017607464,0.01942549194,-726815.218512,-726815.242120,0.047216,0,122487,-726815.218512,-726816.237995,-726816.680900,-726816.133424,-726816.795335,-726815.242120
275,0.0001001074302,0.01037314758,-730311.716402,-730311.731078,0.029351,0,123195,-730311.716402,-730313.864561,-730314.546786,-730313.681723,-730314.687003,-730311.731078
276,0,0.01,-727885.510389,-727885.510389,-0.000000,-1,122729,-727885.523282,-727887.958461,-727888.713254,-727887.804902,-727888.908739,-727885.510389
277,0.003308982915,0.07048399229,-726946.835723,-726947.962568,2.253689,3,122471,-726947.921588,-726947.039983,-726947.612272,-726946.835723,-726947.717768,-726947.962568
278,0,0.01,-727600.465257,-727600.465257,-0.000000,-1,122697,-727600.480330,-727602.615338,-727603.489457,-727602.303260,-727603.687968,-727600.465257
279,0,0.01,-728281.599851,-728281.599852,0.000000,-1,122767,-728281.625783,-728283.015572,-728283.552182,-728282.884968,-728283.674729,-728281.599851
280,0,0.01,-731333.602559,-731333.602559,0.000000,-1,123461,-731333.620973,-731336.080480,-731336.984707,-731335.801327,-731337.172414,-731333.602559
281,9.923700012e-05,0.05047100367,-724415.376903,-724415.419102,0.084398,0,122011,-724415.376903,-724415.979281,-724416.396527,-724415.878593,-724416.493706,-724415.419102
282,0,0.01,-729751.837227,-729751.837227,-0.000000,-1,123074,-729751.839964,-729753.811504,-729754.578778,-729753.563009,-729754.748665,-729751.837227
283,0,0.01,-726658.327889,-726658.327889,0.000000,-1,122480,-726658.368020,-726660.047405,-726660.724185,-726659.858264,-726660.874097,-726658.327889
284,0.0001000191215,0.01035616746,-727270.389450,-727270.393325,0.007750,0,122584,-727270.389450,-727271.980915,-727272.788271,-727271.705646,-727272.969624,-727270.393325
285,0.0001001746794,0.01036442903,-728940.574831,-728940.597351,0.045039,0,122933,-728940.574831,-728942.763065,-728943.454751,-728942.567838,-728943.601921,-728940.597351
286,0.0001010576616,0.01077643014,-732708.031691,-732708.097033,0.130684,0,123701,-732708.031691,-732708.388597,-732708.857285,-732708.236339,-732708.963482,-732708.097033
287,0.0001000278015,0.01038007955,-730000.238915,-730000.244686,0.011542,0,123138,-730000.238915,-730002.057034,-730002.681730,-730001.884137,-730002.823746,-730000.244686
288,9.999546125e-05,0.01034164726,-727367.458971,-727367.459507,0.001072,0,122595,-727367.458971,-727369.795949,-727370.640020,-727369.497715,-727370.826774,-727367.459507
289,0.0001003027847,0.0107707149,-730042.731159,-730042.751040,0.039762,0,123177,-730042.731159,-730044.552983,-730045.134411,-730044.401163,-730045.267017,-730042.751040
290,0,0.01,-725040.510141,-725040.510141,0.000000,-1,122253,-725040.529479,-725042.478294,-725043.109546,-725042.324769,-725043.251974,-725040.510141
291,0,0.01,-727748.676717,-727748.676717,0.000000,-1,122736,-727748.678772,-727750.803985,-727751.560416,-727750.577369,-727751.723560,-727748.676717
292,0.0001003894551,0.01077671705,-729210.554255,-729210.579492,0.050473,0,122987,-729210.554255,-729211.470187,-729212.020735,-729211.299755,-729212.134122,-729210.579492
293,0.003705445325,0.0554075403,-726763.769697,-726764.056351,0.573309,3,122472,-726763.985208,-726763.943966,-726764.435737,-726763.769697,-726764.533470,-726764.056351
294,0,0.01,-728689.046770,-728689.046770,-0.000000,-1,122864,-728689.066099,-728691.172450,-728691.981392,-728690.938897,-728692.174608,-728689.046770
295,0,0.01,-731406.299864,-731406.299864,-0.000000,-1,123463,-731406.333420,-731408.440936,-731409.204389,-731408.230043,-731409.404990,-731406.299864
296,0.0001003839696,0.01036832923,-729104.028366,-729104.075799,0.094866,0,122978,-729104.028366,-729105.106925,-729105.682133,-729104.921168,-729105.810974,-729104.075799
297,0,0.01,-726340.055034,-726340.055033,-0.000000,-1,122402,-726340.096424,-726342.304578,-726343.079040,-726342.122647,-726343.269274,-726340.055034
298,0,0.01,-725257.846364,-725257.846364,-0.000000,-1,122205,-725257.879905,-725259.792865,-725260.456985,-725259.628585,-725260.614483,-725257.846364
299,0,0.01,-729161.971297,-729161.971297,0.000000,-1,123031,-729161.985492,-729163.785440,-729164.439042,-729163.615331,-729164.595484,-729161.971297
300,0,0.01,-727910.618448,-727910.618448,-0.000000,-1,122788,-727910.636374,-727912.610348,-727913.344089,-727912.401295,-727913.516428,-727910.618448
301,0,0.01,-729195.280365,-729195.280365,-0.000000,-1,122990,-729195.353784,-729197.397680,-729198.229955,-729197.198802,-729198.415921,-729195.280365
302,0.0001000617752,0.01036460362,-725846.323013,-725846.332199,0.018373,0,122258,-725846.323013,-725847.858075,-725848.724303,-725847.519747,-725848.903624,-725846.332199
303,0.0001110314605,0.02333526204,-728400.113459,-728400.178299,0.129679,0,122830,-728400.113459,-728400.807215,-728401.204699,-728400.726830,-728401.294225,-728400.178299
304,0,0.01,-726969.858488,-726969.858488,-0.000000,-1,122537,-726969.913027,-726971.724659,-726972.489140,-726971.507777,-726972.667756,-726969.858488
305,0.0001223572796,0.02616552167,-726596.543176,-726596.639695,0.193038,0,122462,-726596.543176,-726596.962472,-726597.311566,-726596.885062,-726597.394435,-726596.639695
306,0,0.01,-728634.755892,-728634.755892,-0.000000,-1,122850,-728634.779087,-728636.583856,-728637.365358,-728636.328815,-728637.529390,-728634.755892
307,0.004033348729,0.05474069319,-729318.394698,-729319.873579,2.957762,3,123039,-729318.934972,-729318.448388,-729318.693418,-729318.394698,-729318.746821,-729319.873579
308,0.0001015387997,0.01283595014,-726987.787204,-726987.818475,0.062542,0,122532,-726987.787204,-726989.321968,-726989.806254,-726989.224813,-726989.929402,-726987.818475
309,0,0.01,-728140.148765,-728140.148765,-0.000000,-1,122774,-728140.201146,-728141.314012,-728142.336664,-728140.870474,-728142.529573,-728140.148765
310,0.0001002065269,0.01037500252,-729237.705492,-729237.732113,0.053242,0,122971,-729237.705492,-729239.038827,-729239.693446,-729238.818147,-729239.837585,-729237.732113
311,0,0.01,-726064.777568,-726064.777568,0.000000,-1,122347,-726064.783717,-726066.680026,-726067.378241,-726066.495246,-726067.545611,-726064.777568
312,0,0.01,-726168.452508,-726168.452508,0.000000,-1,122409,-726168.460367,-726169.490490,-726170.021613,-726169.352894,-726170.140364,-726168.452508
313,0.0001036905151,0.01867735599,-728185.366272,-728185.403116,0.073689,0,122792,-728185.366272,-728186.427799,-728186.848725,-728186.345128,-728186.948002,-728185.403117
314,0.0001000137779,0.01078595212,-728909.130133,-728909.133510,0.006753,0,122961,-728909.130133,-728910.680790,-728911.263552,-728910.524606,-728911.403777,-728909.133510
315,0.0001003952022,0.0107849254,-726645.853571,-726645.878918,0.050694,0,122428,-726645.853571,-726646.660906,-726647.304157,-726646.455223,-726647.435135,-726645.878918
316,0,0.01,-730129.090238,-730129.090238,0.000000,-1,123156,-730129.112181,-730131.210416,-730132.166142,-730130.860085,-730132.360636,-730129.090238
317,0.0001004123408,0.01077008172,-729359.976294,-729360.002465,0.052342,0,123058,-729359.976294,-729360.427048,-729361.117033,-729360.176472,-729361.254791,-729360.002465
318,0.0001004205582,0.01076213731,-729873.403473,-729873.430370,0.053793,0,123173,-729873.403473,-729874.802763,-729875.322405,-729874.659465,-729875.448282,-729873.430370
319,0.0001006838001,0.01078955007,-726067.039888,-726067.082617,0.085458,0,122337,-726067.039888,-726067.521673,-726067.955870,-726067.400387,-726068.047840,-726067.082617
320,0,0.01,-727166.178253,-727166.178253,0.000000,-1,122575,-727166.199343,-727168.457804,-727169.244540,-727168.213596,-727169.428735,-727166.178253
321,0.0001000984159,0.01076226518,-727515.692360,-727515.700257,0.015794,0,122635,-727515.692360,-727516.425456,-727517.035943,-727516.244363,-727517.162204,-727515.700257
322,0.00302322068,0.06874633484,-728316.833662,-728317.372673,1.078023,3,122834,-728317.350642,-728316.961203,-728317.408188,-728316.833662,-728317.492259,-728317.372673
323,0.000100010144,0.01034878827,-728528.094997,-728528.097559,0.005124,0,122868,-728528.094997,-728530.422789,-728531.214452,-728530.196109,-728531.389875,-728528.097559
324,0.0001002812707,0.01079542958,-728554.371631,-728554.391062,0.038863,0,122845,-728554.371631,-728555.047556,-728555.500897,-728554.937904,-728555.599539,-728554.391062
325,0,0.01,-724825.790078,-724825.790078,0.000000,-1,122132,-724825.864717,-724827.922468,-724828.784793,-724827.702814,-724828.984506,-724825.790078
326,0,0.01,-730424.043634,-730424.043634,-0.000000,-1,123212,-730424.052558,-730426.602005,-730427.444509,-730426.368543,-730427.629894,-730424.043634
327,0.003559817913,0.06772342643,-728118.673726,-728120.747548,4.147644,3,122779,-728119.522333,-728118.778860,-728119.157599,-728118.673726,-728119.239561,-728120.747548
328,0,0.01,-729370.130628,-729370.130628,0.000000,-1,123027,-729370.137609,-729371.645930,-729372.419856,-729371.370055,-729372.597298,-729370.130628
329,0,0.01,-727407.506228,-727407.506228,-0.000000,-1,122600,-727407.555269,-727409.059650,-727409.719825,-727408.872873,-727409.862433,-727407.506228
330,0,0.01,-731814.616165,-731814.616165,-0.000000,-1,123612,-731814.667289,-731816.827802,-731817.753237,-731816.520430,-731817.978793,-731814.616165
331,0.0001000947138,0.01078906741,-730620.475026,-730620.483480,0.016908,0,123269,-730620.475026,-730621.823389,-730622.363904,-730621.690561,-730622.491735,-730620.483480
332,0,0.01,-729391.569587,-729391.569587,-0.000000,-1,123030,-729391.574335,-729393.835117,-729394.555011,-729393.639853,-729394.716545,-729391.569587
333,0,0.01,-728492.501715,-728492.501714,-0.000000,-1,122836,-728492.516180,-728494.941757,-728495.721589,-728494.726306,-728495.907482,-728492.501715
334,0.002556471504,0.08078866536,-728907.290389,-728907.665569,0.750361,3,122885,-728907.685965,-728907.421000,-728907.911596,-728907.290389,-728908.016763,-728907.665569
335,0.002894678009,0.07563081248,-729023.344786,-729023.827636,0.965701,3,122968,-729023.803655,-729023.639632,-729024.400146,-729023.344786,-729024.556962,-729023.827636
336,0,0.01,-725810.467857,-725810.467857,0.000000,-1,122306,-725810.506918,-725811.440327,-725812.015654,-725811.290200,-725812.145147,-725810.467857
337,0.0001007519386,0.01077933406,-729174.862770,-729174.909615,0.093688,0,122967,-729174.862770,-729175.953104,-729176.409420,-729175.838417,-729176.517645,-729174.909615
338,0,0.01,-727786.940767,-727786.940767,0.000000,-1,122679,-727786.944000,-727789.326980,-727790.134027,-727789.080397,-727790.327388,-727786.940767
339,0.0001000227101,0.01076800015,-727096.183626,-727096.186746,0.006241,0,122587,-727096.183626,-727097.874664,-727098.483124,-727097.687681,-727098.631240,-727096.186746
340,0.003594971422,0.05508792991,-725610.324115,-725611.466449,2.284667,3,122272,-725610.947737,-725610.365816,-725610.605694,-725610.324115,-725610.669324,-725611.466449
341,0.0001002048033,0.01076319714,-725988.928511,-725988.942353,0.027683,0,122355,-725988.928511,-725989.599784,-725990.187896,-725989.408837,-725990.319341,-725988.942353
342,0.000100032966,0.01038229305,-726894.561357,-726894.567533,0.012351,0,122526,-726894.561357,-726896.767386,-726897.430231,-726896.595399,-726897.596856,-726894.567532
343,0,0.01,-727734.693150,-727734.693150,0.000000,-1,122687,-727734.731333,-727736.992967,-727737.792467,-727736.788763,-727737.968855,-727734.693150
