iter,alpha_M1f,beta_M1f,LL_M1f,LL_M3_sim,LR_sim,best_init_idx,n_total_sim,ll_init_0,ll_init_1,ll_init_2,ll_init_3,ll_init_4,ll_init_anchor
39,0,0.01,-728857.497421,-728857.497421,0.000000,-1,123001,-728857.531911,-728859.291231,-728859.919784,-728859.143070,-728860.061684,-728857.497421
40,0,0.01,-725460.664323,-725460.664323,-0.000000,-1,122193,-725460.731690,-725462.771617,-725463.590833,-725462.564395,-725463.779598,-725460.664323
41,0.0001003673721,0.01079990924,-731283.963179,-731283.987654,0.048950,0,123411,-731283.963179,-731284.558018,-731285.114435,-731284.401271,-731285.234765,-731283.987654
42,0,0.01,-730239.050767,-730239.050767,-0.000000,-1,123226,-730239.070368,-730240.679262,-730241.286472,-730240.535486,-730241.420099,-730239.050767
43,0,0.01,-727455.116196,-727455.116196,0.000000,-1,122687,-727455.155099,-727456.509682,-727457.255144,-727456.272317,-727457.417736,-727455.116196
44,0,0.01,-728298.342810,-728298.342810,-0.000000,-1,122774,-728298.356970,-728299.196214,-728299.859861,-728298.991626,-728300.030881,-728298.342810
45,0,0.01,-727850.566976,-727850.566976,-0.000000,-1,122716,-727850.582470,-727852.305004,-727853.204618,-727851.964373,-727853.385693,-727850.566976
46,0.000100084384,0.01035897088,-726627.251870,-726627.263336,0.022933,0,122472,-726627.251870,-726629.847229,-726630.614673,-726629.649328,-726630.794767,-726627.263336
47,0.0001002632596,0.0107705726,-729392.023454,-729392.040971,0.035033,0,123045,-729392.023454,-729393.331444,-729393.860816,-729393.188848,-729393.978993,-729392.040971
48,0,0.01,-727205.692386,-727205.692386,0.000000,-1,122558,-727205.705617,-727207.226583,-727207.770684,-727207.099173,-727207.888501,-727205.692386
49,0,0.01,-727342.898074,-727342.898074,-0.000000,-1,122586,-727342.917708,-727344.881678,-727345.541956,-727344.708650,-727345.705048,-727342.898074
50,0,0.01,-728517.264528,-728517.264528,0.000000,-1,122849,-728517.291142,-728519.446021,-728520.202909,-728519.229983,-728520.390983,-728517.264528
51,0,0.01,-727961.731682,-727961.731682,0.000000,-1,122781,-727961.789638,-727963.890023,-727964.844617,-727963.580106,-727965.042306,-727961.731682
52,0,0.01,-728419.761444,-728419.761444,0.000000,-1,122884,-728419.806008,-728422.142525,-728422.969658,-728421.924682,-728423.161092,-728419.761444
53,0,0.01,-727249.835116,-727249.835116,0.000000,-1,122592,-727249.917091,-727251.905896,-727252.723264,-727251.705127,-727252.908345,-727249.835116
54,0,0.01,-726761.118454,-726761.118454,-0.000000,-1,122532,-726761.131888,-726763.206941,-726763.945387,-726763.001716,-726764.099723,-726761.118454
