Model,k,LogLik,AIC,BIC,Delta_AIC,Delta_BIC
M0: Hom. Poisson,1,-755408.8368370701,1510819.6736741401,1510829.3915547456,54760.65555116325,54303.91516270768
M1: Self-only Hawkes,3,-755408.8471745016,1510823.6943490033,1510852.8479908195,54764.67622602638,54327.37159878155
M2: Hawkes+External,5,-755408.8646336729,1510827.7292673457,1510876.318670373,54768.71114436886,54350.84227833501
M3: Pooled 48-bin Inhom. Poisson,48,-727981.5090614884,1456059.0181229769,1456525.476392038,0.0,0.0
