team,n_real,n_evt,mu_M1,alpha_M1,beta_M1,LogLik_M1,AIC_M1,BIC_M1,mu_M0,LogLik_M0,AIC_M0,BIC_M0,Delta_LL_M1_minus_M0,alpha_above_threshold
CHI,246,4449,0.0062796320575580706,1.5010316807143715e-06,0.005890758181515458,-27007.39895892692,54020.79791785384,54039.99922174626,0.006279640921409214,-27007.398585762334,54016.79717152467,54023.197606155474,-0.00037316458474379033,False
TOR,246,4007,0.005655762296880959,1.4735248942630828e-06,0.004856208095560751,-24743.54189666668,49493.08379333336,49511.971187665265,0.00565577009936766,-24743.541546693825,49489.08309338765,49495.37889149829,-0.0003499728554743342,False
MEM,246,4444,0.006272575237099407,1.4457895848690038e-06,0.004693831162599053,-26982.043929256946,53970.08785851389,53989.28578896617,0.006272583559168925,-26982.043562697796,53966.08712539559,53972.48643554635,-0.0003665591502794996,False
LAL,246,4266,0.006021333485055939,1.437589058367733e-06,0.004926359869031806,-26075.691629134853,52157.38325826971,52176.458553966804,0.006021341463414634,-26075.691265992496,52153.38253198499,52159.740963884025,-0.00036314235694590025,False
MIN,246,4211,0.00594370266897848,1.4293355703692882e-06,0.006171960096729548,-25794.15104703968,51594.30209407936,51613.33846036384,0.005943710478771454,-25794.150698271696,51590.30139654339,51596.646851971556,-0.0003487679823592771,False
LAC,246,3587,0.005062944907951449,1.4193537325524938e-06,0.008247452290225265,-22547.185112278676,45100.37022455735,45118.92543898995,0.005062951671183378,-22547.184800298368,45096.369600596736,45102.55467207427,-0.00031198030774248764,False
NOP,246,4314,0.006089084641571338,1.3241303441128014e-06,0.006074508248823131,-26320.819960449815,52647.63992089963,52666.74878338048,0.006089092140921409,-26320.819601036572,52643.639202073144,52650.00882290009,-0.0003594132431317121,False
MIA,246,3665,0.0051730401246276566,1.3166452521120206e-06,0.008265484443859336,-22958.63596037523,45923.27192075046,45941.891671593425,0.005173046522131888,-22958.635658227973,45919.27131645595,45925.47790007027,-0.00030214725848054513,False
WAS,246,3941,0.005562606097655282,1.300348065256879e-06,0.007671730055861779,-24401.44011312446,48808.88022624892,48827.7177955805,0.005562612917795844,-24401.43977488923,48804.87954977846,48811.158739555656,-0.0003382352297194302,False
CHA,246,4117,0.005811024970245703,1.3002257917872419e-06,0.006656865138647821,-25311.304351443436,50628.60870288687,50647.57734295218,0.00581103206865402,-25311.304008383016,50624.60801676603,50630.9308967878,-0.0003430604192544706,False
ORL,246,3831,0.005407344857447402,1.1916356827218241e-06,0.006922962135999473,-23828.804851947978,47663.609703895956,47682.36234733006,0.005407350948509485,-23828.804539469693,47659.609078939386,47665.85996008409,-0.0003124782851955388,False
BOS,246,3406,0.004807470445470112,1.0558193973283596e-06,0.005718466687759417,-21585.80881825838,43177.61763651676,43196.01751810043,0.004807475158084914,-21585.808542142087,43173.617084284175,43179.7503781454,-0.00027611629411694594,False
UTA,246,3642,0.005140578220295674,9.138455468323282e-07,0.006102968009835462,-22837.484892624667,45680.969785249334,45699.5706500302,0.005140582655826558,-22837.484587237825,45676.96917447565,45683.16946273594,-0.00030538684222847223,False
POR,246,3655,0.005158927421089275,9.12785494547677e-07,0.004736287090212927,-22905.97936840956,45817.95873681912,45836.57029093567,0.00515893179765131,-22905.979068290828,45813.958136581656,45820.16198795384,-0.0003001187324116472,False
